table_name,estimated_rows
audit_log,6
audit_log_entries,0
audit_logs,531
auth_event_logs,46
buckets,0
buckets_analytics,0
buckets_vectors,0
client_error_logs,167
config_change_logs,6
correction_log,1
custom_oauth_providers,0
empty_location_inventory_log,5
empty_location_issues,1
entries,42
export_config,1
flow_state,0
identities,6
import_logs,6
instances,0
job,2
job_run_details,0
location_issues,0
locations,104460
messages,0
mfa_amr_claims,0
mfa_challenges,0
mfa_factors,0
migrations,2
oauth_authorizations,0
oauth_client_states,0
oauth_clients,0
oauth_consents,0
objects,0
one_time_tokens,0
prices,0
process_config,1
products,55267
profiles,7
refresh_tokens,1
s3_multipart_uploads,0
s3_multipart_uploads_parts,0
saml_providers,0
saml_relay_states,0
schema_migrations,2
schema_migrations,2
secrets,0
sessions,288
sessions,0
sites,2
sso_domains,0
sso_providers,0
stock,0
stock_import_logs,1
subscription,0
user_site_access,8
users,7
vector_indexes,0
webauthn_challenges,0
webauthn_credentials,0
zones,0