table_name,constraint_name,column_name
audit_log,audit_log_pkey,id
audit_logs,audit_logs_pkey,id
auth_event_logs,auth_event_logs_pkey,id
client_error_logs,client_error_logs_pkey,id
config_change_logs,config_change_logs_pkey,id
correction_log,correction_log_pkey,id
empty_location_inventory_log,empty_location_inventory_log_pkey,id
empty_location_issues,empty_location_issues_pkey,id
entries,entries_pkey,id
export_config,export_config_pkey,id
import_logs,import_logs_pkey,id
location_issues,location_issues_pkey,id
locations,locations_pkey,id
prices,prices_pkey,id
process_config,process_config_pkey,id
products,products_pkey,id
profiles,profiles_pkey,id
sessions,sessions_pkey,id
sites,sites_pkey,id
stock,stock_pkey,id
stock_import_logs,stock_import_logs_pkey,id
user_site_access,user_site_access_pkey,id
zones,zones_pkey,id